0x020ca0b2 in __get_handle ()
Temporary breakpoint 1 at 0x2080198: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fe28: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 277 x10=265 sc=19 fw=14 tw=17678144 pres=276 vbl=611
FPSP 278 x10=265 sc=19 fw=14 tw=17678144 pres=277 vbl=613
FPSP 279 x10=265 sc=19 fw=14 tw=17678144 pres=279 vbl=617
FPSP 280 x10=265 sc=19 fw=14 tw=17678144 pres=279 vbl=619
FPSP 281 x10=250 sc=20 fw=13 tw=17429824 pres=280 vbl=623
FPSP 282 x10=250 sc=20 fw=13 tw=17429824 pres=281 vbl=625
FPSP 283 x10=250 sc=20 fw=13 tw=17429824 pres=282 vbl=627
FPSP 284 x10=250 sc=20 fw=13 tw=17429824 pres=283 vbl=629
FPSP 285 x10=250 sc=20 fw=13 tw=17429824 pres=284 vbl=631
FPSP 286 x10=250 sc=20 fw=13 tw=17429824 pres=285 vbl=633
FPSP 287 x10=250 sc=20 fw=13 tw=17429824 pres=286 vbl=635
FPSP 288 x10=250 sc=20 fw=13 tw=17429824 pres=287 vbl=637
FPSP 289 x10=250 sc=20 fw=13 tw=17429824 pres=288 vbl=639
FPSP 290 x10=250 sc=20 fw=13 tw=17429824 pres=289 vbl=641
FPSP 291 x10=250 sc=20 fw=13 tw=17429824 pres=290 vbl=643
FPSP 292 x10=250 sc=20 fw=13 tw=17429824 pres=291 vbl=645
FPSP 293 x10=250 sc=20 fw=13 tw=17429824 pres=292 vbl=647
FPSP 294 x10=250 sc=20 fw=13 tw=17429824 pres=293 vbl=649
FPSP 295 x10=279 sc=21 fw=14 tw=16803392 pres=294 vbl=653
FPSP 296 x10=279 sc=21 fw=14 tw=16803392 pres=295 vbl=655
FPSP 297 x10=279 sc=21 fw=14 tw=16803392 pres=296 vbl=657
FPSP 298 x10=279 sc=21 fw=14 tw=16803392 pres=297 vbl=659
FPSP 299 x10=279 sc=21 fw=14 tw=16803392 pres=298 vbl=661
FPSP 300 x10=279 sc=21 fw=14 tw=16803392 pres=299 vbl=663
FPSP 301 x10=279 sc=21 fw=14 tw=16803392 pres=300 vbl=667
FPSP 302 x10=279 sc=21 fw=14 tw=16803392 pres=301 vbl=669
FPSP 303 x10=279 sc=21 fw=14 tw=16803392 pres=302 vbl=671
FPSP 304 x10=279 sc=21 fw=14 tw=16803392 pres=303 vbl=673
FPSP 305 x10=279 sc=21 fw=14 tw=16803392 pres=304 vbl=675
FPSP 306 x10=279 sc=21 fw=14 tw=16803392 pres=305 vbl=677
FPSP 307 x10=279 sc=21 fw=14 tw=16803392 pres=306 vbl=679
FPSP 308 x10=279 sc=21 fw=14 tw=16803392 pres=307 vbl=681
FPSP 309 x10=279 sc=21 fw=14 tw=16803392 pres=308 vbl=683
FPSP 310 x10=281 sc=22 fw=15 tw=17865152 pres=309 vbl=685
FPSP 311 x10=281 sc=22 fw=15 tw=17865152 pres=310 vbl=687
FPSP 312 x10=281 sc=22 fw=15 tw=17865152 pres=311 vbl=689
