pc,whole_instructions,m80prof_instructions,m80gate_instructions
0x02030eb4,4800,240,240
0x02030ed4,12800,640,640
0x02030ee4,4800,240,240
0x02030ef4,4800,240,240
0x02031200,9627,481,480
0x0203126c,8027,401,400
0x0203132c,8029,401,400
0x02031356,4800,240,240
0x0203135e,4800,240,240
0x02031382,4800,240,240
0x020313a4,8027,401,400
0x020313c8,1600,80,80
0x020313fa,8000,400,400
0x02031412,4800,240,240
0x02031418,4800,240,240
0x02031918,1600,80,80
0x02031944,1600,80,80
0x02031a18,4800,240,240
0x02031bd0,27,1,0
0x02031bda,27,1,0
0x02031be4,27,1,0
0x02031bfa,27,1,0
0x02031c10,4800,240,240
0x02031c1a,4800,240,240
0x02031c24,4800,240,240
0x02031c2e,4800,240,240
0x02031c7a,4800,240,240
0x02031c86,4800,240,240
0x02031c8c,4800,240,240
0x02031ddc,4800,240,240
0x02031de8,9519,480,483
0x02032864,1600,80,80
0x02032c9e,1600,80,80
0x02032d04,1600,80,80
0x02032d1e,3200,160,160
0x02032e0c,3200,160,160
0x02032e3c,3200,160,160
0x02032e50,27,1,0
0x02032e5c,27,1,0
0x02032e66,27,1,0
0x02032e70,27,1,0
0x02032ecc,4800,240,240
0x02032ed8,4800,240,240
0x02032ee2,4800,240,240
0x02032eec,4800,240,240
0x02032fac,3200,160,160
0x02032fe0,3200,160,160
0x020333e2,1600,80,80
0x02033406,27,1,0
0x02033416,1600,80,80
0x020334a0,3200,160,160
0x020334a2,3200,160,160
0x020334d8,3200,160,160
0x020334ec,3200,160,160
0x020336b0,1600,80,80
0x020336f8,14,0,6
0x02033b2c,3116,160,160
0x02033b44,3116,160,160
0x02033b4e,3116,160,160
0x02033b58,3116,160,160
0x02033b62,3116,160,160
0x02033b6c,3116,160,160
0x02033b74,3116,160,160
0x02033b7e,3116,160,160
0x02033b86,3116,160,160
0x02033b8a,3116,160,160
0x02033b92,3116,160,160
0x02033b9c,3116,160,160
0x02033ba6,3116,160,160
0x02033bb0,3116,160,160
0x02033bb8,3116,160,160
0x02033bc2,3116,160,160
0x02033bca,3116,160,160
0x02033bd4,3116,160,160
0x02033bde,3116,160,160
0x02033be6,3116,160,160
0x02033bf0,3116,160,160
0x02033bfa,3116,160,160
0x02033c02,3116,160,160
0x02033c0c,3116,160,160
0x02033c16,3116,160,160
0x02033c1e,3116,160,160
0x02033c2a,3116,160,160
0x02033c32,3116,160,160
0x02033c36,3116,160,160
0x02033c40,3116,160,160
0x02033c4a,3116,160,160
0x02033c54,3116,160,160
0x02033c5e,3116,160,160
0x02033c68,3116,160,160
0x02033c72,3116,160,160
0x02033c7a,3116,160,160
0x02033c84,3116,160,160
0x02033c8e,3116,160,160
