frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsHardwareRendererStatus,gNdsHardwareRendererPolyRamCount,gNdsParticleBatchOpens,gNdsParticleScaleEscalations,gNdsR2LightVectorWrites,gNdsParticleCameraLoads
553,1117824,310272,174400,4224,2752,960,267328,129408,229056,208960,908800,7296,960,261760,896,1408,2048,100224,56448,640,907840,100663296,477,266,67,1106,297
554,1117760,308928,175104,4224,2688,1088,259456,129472,241408,221440,896256,6912,1024,253952,1600,1344,2048,98944,56512,704,895168,100663296,468,269,69,1108,300
555,1117696,305600,173760,4224,2880,1024,258176,129408,241408,221440,896256,6912,1024,252736,1344,1664,1920,96192,57152,576,895232,100663296,470,272,71,1110,303
556,1117888,307584,176768,4224,2944,475840,351360,131264,231104,211008,1467200,6976,1024,346048,88320,1280,2112,190720,56384,768,991360,100663296,470,275,73,1112,306
557,1678208,305344,176192,4160,2752,1024,303104,128960,194560,174848,942528,7040,960,297664,40960,1408,2048,141504,56512,640,941504,100663296,477,278,75,1114,309
558,1117376,305280,177600,4096,2688,1088,260224,115456,194560,174848,942528,7040,1024,254784,896,1408,2048,98816,57024,768,941440,100663296,482,280,76,1116,311
559,1117632,306432,175424,4224,2880,1088,264320,115648,251264,232000,885504,6976,960,258752,832,1536,2112,102976,56832,640,884416,100663296,486,282,77,1118,313
560,1117504,303296,174848,4160,2880,1024,263360,113920,249664,230080,888064,6848,1024,257792,1536,1344,2112,101760,56832,640,887040,100663296,485,284,78,1120,315
561,1118144,307328,175744,4224,2880,960,271424,114944,238912,219008,898752,6976,1024,266048,2304,1344,2240,102528,56640,640,897792,100663296,485,286,79,1122,317
562,1117760,307072,177408,4160,2816,1024,358976,114688,238912,219008,898752,6976,1024,353664,87360,1472,1984,186240,56064,768,897728,100663296,468,288,80,1124,319
563,1117760,304832,175616,4160,2816,1024,407808,108608,155648,135872,981888,7168,960,402432,110144,1344,2048,210816,57216,704,980864,100663296,463,290,81,1126,321
564,1117824,308096,178688,4224,2880,1024,330496,96384,195072,175232,942848,6976,1024,325056,41472,1536,2048,143808,56640,704,941824,100663296,464,291,82,1128,322
565,1118080,305856,182272,4096,2880,1024,291520,96448,234368,214784,902784,7040,960,286016,896,1536,1920,99136,57024,704,901760,100663296,476,292,83,1130,323
